category,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,amenities_count
housing/rent/apartment,1.0,0,Thumbnail,,1095,231,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,0,Thumbnail,,1695,232,1247,4,37.7599,-122.4379,2
housing/rent/apartment,1.0,0,Thumbnail,,990,239,1468,7,38.9118,-77.0132,0
housing/rent/apartment,1.0,1,Thumbnail,,775,240,105,47,48.7871,-122.4437,0
housing/rent/apartment,1.0,0,Thumbnail,,1299,243,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,1,Thumbnail,,705,245,34,0,61.1723,-149.8414,1
housing/rent/apartment,1.0,1,Thumbnail,,1800,250,1063,4,37.6019,-122.4863,0
housing/rent/apartment,1.0,1,Thumbnail,,1600,250,836,4,33.9855,-118.4532,1
housing/rent/apartment,1.0,1,Thumbnail,,1500,250,1247,4,37.7599,-122.4379,0
housing/rent/apartment,1.0,1,Thumbnail,,1330,250,1366,4,34.145,-118.3898,0
housing/rent/apartment,1.0,1,Thumbnail,,1310,250,928,4,34.2805,-118.8861,0
housing/rent/apartment,1.0,1,Thumbnail,,1300,250,1411,4,33.8363,-118.333,1
housing/rent/apartment,1.0,1,Thumbnail,,1295,250,1224,4,38.5587,-121.432,0
housing/rent/apartment,1.0,1,Thumbnail,,1255,250,722,4,34.2017,-118.492,1
housing/rent/apartment,1.0,1,Thumbnail,,1250,250,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,1,Thumbnail,,1250,250,1003,4,34.1881,-118.3905,0
housing/rent/apartment,1.0,1,Thumbnail,,1200,250,369,5,39.736,-104.9819,0
housing/rent/apartment,1.0,1,Thumbnail,,1200,250,67,5,39.6828,-104.8078,0
housing/rent/apartment,1.0,1,Thumbnail,,1175,250,162,4,37.9353,-121.6935,0
housing/rent/apartment,1.0,1,Thumbnail,,1155,250,1256,4,37.9917,-122.5247,0
housing/rent/apartment,1.0,1,Thumbnail,,1150,250,1010,20,39.1088,-77.2384,1
housing/rent/apartment,1.0,1,Thumbnail,,1145,250,36,19,42.6484,-71.1615,1
housing/rent/apartment,1.0,1,Thumbnail,,1135,250,1029,4,37.7904,-122.2151,0
housing/rent/apartment,1.0,1,Thumbnail,,1115,250,1254,4,37.9724,-122.3304,0
housing/rent/apartment,1.0,0,Thumbnail,,1095,250,272,14,41.8625,-87.6825,0
housing/rent/apartment,1.0,1,Thumbnail,,1090,250,15,45,38.7999,-77.1072,0
housing/rent/apartment,1.0,1,Thumbnail,,1075,250,272,14,41.8625,-87.6825,0
housing/rent/apartment,1.0,1,Thumbnail,,1050,250,1402,4,34.2009,-118.8636,1
housing/rent/apartment,1.0,1,Thumbnail,,1050,250,369,5,39.736,-104.9819,0
housing/rent/apartment,1.0,1,Thumbnail,,1045,250,194,45,38.786,-77.2858,0
housing/rent/apartment,1.0,1,Thumbnail,,1025,250,103,47,47.5988,-122.1507,0
housing/rent/apartment,1.0,1,Thumbnail,,1025,250,69,43,39.8163,-98.5576,0
housing/rent/apartment,1.0,1,Thumbnail,,1005,250,1541,4,38.3918,-121.2234,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,1557,4,34.1677,-118.6141,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,883,9,25.7603,-80.3005,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,643,20,38.9633,-76.9375,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,1518,5,39.8644,-105.0454,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,67,5,39.6828,-104.8078,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,55,5,39.8228,-105.1107,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,250,1283,4,33.7606,-118.0806,0
housing/rent/apartment,1.0,1,Thumbnail,,975,250,1252,4,33.1463,-117.1694,1
housing/rent/apartment,1.0,1,Thumbnail,,965,250,860,31,39.8587,-74.8101,0
housing/rent/apartment,1.0,1,Thumbnail,,955,250,528,20,39.1634,-76.6165,0
housing/rent/apartment,1.0,1,Thumbnail,,950,250,775,5,39.5816,-105.0387,0
housing/rent/apartment,1.0,1,Thumbnail,,950,250,67,5,39.6828,-104.8078,0
housing/rent/apartment,1.0,1,Thumbnail,,930,250,309,4,37.9682,-122.0091,0
housing/rent/apartment,1.0,1,Thumbnail,,925,250,721,5,39.9999,-105.0993,0
housing/rent/apartment,1.0,1,Thumbnail,,925,250,276,4,32.6197,-117.0226,0
housing/rent/apartment,1.0,1,Thumbnail,,925,250,528,20,39.1634,-76.6165,1
housing/rent/apartment,1.0,1,Thumbnail,,915,250,610,5,39.5516,-104.969,0
housing/rent/apartment,1.0,1,Thumbnail,,900,250,742,20,39.0976,-76.8614,1
housing/rent/apartment,1.0,1,Thumbnail,,900,250,1051,9,28.5163,-81.3644,1
housing/rent/apartment,1.0,1,Thumbnail,,900,250,148,5,40.0213,-105.2552,0
housing/rent/apartment,1.0,1,Thumbnail,,900,250,67,5,39.6828,-104.8078,0
housing/rent/apartment,1.0,1,Thumbnail,,900,250,714,4,34.0291,-117.9457,1
housing/rent/apartment,1.0,1,Thumbnail,,900,250,33,4,33.8323,-117.9079,0
housing/rent/apartment,1.0,1,Thumbnail,,895,250,308,5,39.8312,-104.8942,0
housing/rent/apartment,1.0,1,Thumbnail,,895,250,55,5,39.8228,-105.1107,0
housing/rent/apartment,1.0,1,Thumbnail,,875,250,52,45,38.8738,-77.1055,0
housing/rent/apartment,1.0,1,Thumbnail,,865,250,954,9,26.1806,-81.7257,0
housing/rent/apartment,1.0,1,Thumbnail,,865,250,60,10,33.7848,-84.3922,1
housing/rent/apartment,1.0,1,Thumbnail,,860,250,1270,9,27.3181,-82.4987,1
housing/rent/apartment,1.0,1,Thumbnail,,855,250,67,5,39.6828,-104.8078,0
housing/rent/apartment,1.0,1,Thumbnail,,850,250,791,45,38.69,-77.2065,1
housing/rent/apartment,1.0,1,Thumbnail,,850,250,484,5,40.0994,-104.8079,4
housing/rent/apartment,1.0,1,Thumbnail,,850,250,1554,45,38.6487,-77.3152,1
housing/rent/apartment,1.0,1,Thumbnail,,850,250,956,42,36.137,-86.783,0
housing/rent/apartment,1.0,1,Thumbnail,,850,250,1238,9,27.7873,-82.6772,0
housing/rent/apartment,1.0,1,Thumbnail,,850,250,1135,37,45.5091,-122.6449,0
housing/rent/apartment,1.0,1,Thumbnail,,825,250,673,20,39.4324,-76.3552,0
housing/rent/apartment,1.0,1,Thumbnail,,805,250,60,10,33.7848,-84.3922,1
housing/rent/apartment,1.0,1,Thumbnail,,800,250,181,5,39.9156,-105.0876,0
housing/rent/apartment,1.0,1,Thumbnail,,800,250,439,5,39.6169,-104.919,1
housing/rent/apartment,1.0,1,Thumbnail,,800,250,1138,20,39.0287,-77.2409,0
housing/rent/apartment,1.0,1,Thumbnail,,800,250,367,9,28.905,-81.2156,0
housing/rent/apartment,1.0,1,Thumbnail,,800,250,780,4,38.1255,-121.2878,0
housing/rent/apartment,1.0,1,Thumbnail,,800,250,661,9,30.2989,-81.6324,0
housing/rent/apartment,1.0,1,Thumbnail,,795,250,1081,5,39.4904,-104.7265,0
housing/rent/apartment,1.0,1,Thumbnail,,785,250,492,5,38.6968,-104.6969,0
housing/rent/apartment,1.0,1,Thumbnail,,785,250,481,5,40.5649,-105.0824,0
housing/rent/apartment,1.0,1,Thumbnail,,760,250,796,5,40.4067,-105.0984,0
housing/rent/apartment,1.0,1,Thumbnail,,755,250,789,9,28.7026,-81.3885,1
housing/rent/apartment,1.0,1,Thumbnail,,755,250,91,8,39.6103,-75.6896,0
housing/rent/apartment,1.0,1,Thumbnail,,755,250,637,38,40.2776,-76.7088,0
housing/rent/apartment,1.0,1,Thumbnail,,750,250,1193,4,33.945,-117.4074,0
housing/rent/apartment,1.0,1,Thumbnail,,750,250,1131,9,27.2897,-80.3421,0
housing/rent/apartment,1.0,1,Thumbnail,,750,250,521,20,39.1774,-77.2569,1
housing/rent/apartment,1.0,1,Thumbnail,,750,250,258,27,35.2016,-80.8124,0
housing/rent/apartment,1.0,1,Thumbnail,,725,250,956,42,36.137,-86.783,0
housing/rent/apartment,1.0,1,Thumbnail,,725,250,615,10,33.8691,-84.7686,0
housing/rent/apartment,1.0,1,Thumbnail,,720,250,310,43,29.4782,-98.2759,0
housing/rent/apartment,1.0,1,Thumbnail,,705,250,634,43,29.7714,-95.4343,1
housing/rent/apartment,1.0,1,Thumbnail,,700,250,46,3,33.4234,-111.5415,1
housing/rent/apartment,1.0,1,Thumbnail,,700,250,69,43,30.3054,-97.7497,1
housing/rent/apartment,1.0,1,Thumbnail,,700,250,181,5,39.9156,-105.0876,0
housing/rent/apartment,1.0,1,Thumbnail,,700,250,1282,3,33.5783,-111.8902,1
housing/rent/apartment,1.0,1,Thumbnail,,700,250,1051,9,28.5163,-81.3644,0
housing/rent/apartment,1.0,1,Thumbnail,,700,250,76,20,39.3191,-76.6126,1
housing/rent/apartment,1.0,1,Thumbnail,,700,250,245,5,39.6041,-104.8594,0
housing/rent/apartment,1.0,1,Thumbnail,,700,250,733,5,39.6894,-105.1119,0
housing/rent/apartment,1.0,1,Thumbnail,,700,250,707,43,30.0066,-97.8071,0
housing/rent/apartment,1.0,0,Thumbnail,,695,250,239,12,42.5286,-92.4509,3
housing/rent/apartment,1.0,1,Thumbnail,,695,250,1371,14,41.7834,-87.8099,0
housing/rent/apartment,1.0,1,Thumbnail,,685,250,305,40,34.0505,-81.0098,0
housing/rent/apartment,1.0,1,Thumbnail,,685,250,1100,3,33.5178,-112.0848,1
housing/rent/apartment,1.0,1,Thumbnail,,675,250,634,43,29.7714,-95.4343,0
housing/rent/apartment,1.0,1,Thumbnail,,675,250,313,23,45.1748,-93.3109,0
housing/rent/apartment,1.0,1,Thumbnail,,660,250,1100,3,33.5178,-112.0848,0
housing/rent/apartment,1.0,1,Thumbnail,,650,250,76,20,39.3191,-76.6126,1
housing/rent/apartment,1.0,1,Thumbnail,,650,250,1239,37,44.9545,-123.0072,0
housing/rent/apartment,1.0,1,Thumbnail,,650,250,273,9,29.4832,-82.8641,0
housing/rent/apartment,1.0,1,Thumbnail,,650,250,1243,43,29.4624,-98.5253,0
housing/rent/apartment,1.0,1,Thumbnail,,650,250,45,42,36.0402,-86.6385,1
housing/rent/apartment,1.0,1,Thumbnail,,645,250,1377,40,33.6285,-78.9873,1
housing/rent/apartment,1.0,1,Thumbnail,,645,250,258,27,35.2016,-80.8124,1
housing/rent/apartment,1.0,1,Thumbnail,,625,250,1446,9,27.0717,-82.3833,1
housing/rent/apartment,1.0,1,Thumbnail,,625,250,69,43,38.8098,-93.6516,1
housing/rent/apartment,1.0,1,Thumbnail,,610,250,1100,3,33.5178,-112.0848,0
housing/rent/apartment,1.0,1,Thumbnail,,600,250,1342,9,28.473,-82.5474,1
housing/rent/apartment,1.0,1,Thumbnail,,600,250,1418,3,32.2264,-110.9438,1
housing/rent/apartment,1.0,1,Thumbnail,,600,250,396,10,33.9369,-84.306,1
housing/rent/apartment,1.0,1,Thumbnail,,600,250,1265,4,36.9873,-122.016,0
housing/rent/apartment,1.0,1,Thumbnail,,600,250,1386,9,28.0076,-82.4792,0
housing/rent/apartment,1.0,1,Thumbnail,,600,250,633,22,47.1165,-88.5631,0
housing/rent/apartment,1.0,1,Thumbnail,,600,250,1156,27,35.823,-78.6438,0
housing/rent/apartment,1.0,1,Thumbnail,,595,250,970,45,37.6465,-78.2899,0
housing/rent/apartment,1.0,1,Thumbnail,,580,250,1450,9,27.6361,-80.4261,1
housing/rent/apartment,1.0,1,Thumbnail,,575,250,297,38,39.9849,-75.8127,0
housing/rent/apartment,1.0,1,Thumbnail,,575,250,1552,9,28.681,-81.2808,0
housing/rent/apartment,1.0,1,Thumbnail,,550,250,284,20,39.2019,-76.951,0
housing/rent/apartment,1.0,1,Thumbnail,,550,250,1346,45,38.7701,-77.2263,1
housing/rent/apartment,1.0,1,Thumbnail,,500,250,773,40,33.8829,-78.6369,1
housing/rent/apartment,1.0,1,Thumbnail,,500,250,72,43,29.5056,-94.9889,1
housing/rent/apartment,1.0,1,Thumbnail,,500,250,1085,3,34.8856,-112.4675,0
housing/rent/apartment,1.0,1,Thumbnail,,499,250,496,17,38.2006,-84.9469,5
housing/rent/apartment,1.0,1,Thumbnail,,495,250,1100,3,33.5178,-112.0848,1
housing/rent/apartment,1.0,1,Thumbnail,,200,250,937,20,39.3903,-77.1487,0
housing/rent/apartment,1.0,0,Thumbnail,,1325,253,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,0,Thumbnail,,1400,255,699,47,47.7046,-122.1989,0
housing/rent/apartment,1.0,0,Thumbnail,,1995,258,1247,4,37.7599,-122.4379,5
housing/rent/apartment,1.0,1,Thumbnail,,710,265,810,48,43.0724,-89.4003,2
housing/rent/apartment,1.0,1,Thumbnail,,1659,272,1468,7,38.9118,-77.0132,6
housing/rent/apartment,1.0,1,Thumbnail,,1600,272,1250,4,37.7078,-122.1435,0
housing/rent/apartment,1.0,1,Thumbnail,,850,273,138,15,39.1471,-86.5136,6
housing/rent/apartment,1.0,0,Thumbnail,,1900,275,322,4,33.6019,-117.8637,0
housing/rent/apartment,1.0,1,Thumbnail,,1505,275,793,4,34.0372,-118.2972,0
housing/rent/apartment,1.0,1,Thumbnail,,900,275,523,3,33.3423,-111.7755,1
housing/rent/apartment,1.0,0,Thumbnail,,892,275,272,14,41.8625,-87.6825,2
housing/rent/apartment,1.0,1,Yes,,705,275,279,35,39.1263,-84.5172,0
housing/rent/apartment,1.0,1,Thumbnail,,1240,280,1061,20,38.8077,-76.9886,1
housing/rent/apartment,1.0,1,Thumbnail,,870,285,34,0,61.1723,-149.8414,0
housing/rent/apartment,1.0,0,Thumbnail,,1095,286,272,14,41.8625,-87.6825,0
housing/rent/apartment,1.0,0,Thumbnail,,1350,288,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,1,Yes,,865,288,1028,38,40.3911,-80.1989,6
housing/rent/apartment,1.0,1,Thumbnail,,690,288,1386,9,28.0076,-82.4792,6
housing/rent/apartment,1.0,0,Thumbnail,,1099,290,1135,37,45.5091,-122.6449,0
housing/rent/apartment,1.0,1,Thumbnail,,700,290,905,23,44.9855,-93.3023,5
housing/rent/apartment,1.0,0,Thumbnail,,850,296,653,12,41.6595,-91.535,0
housing/rent/apartment,1.0,0,Thumbnail,,2200,300,1071,4,37.4356,-122.134,0
housing/rent/apartment,1.0,1,Yes,,2112,300,1158,31,41.0591,-74.1452,3
housing/rent/apartment,1.0,1,Yes,,1868,300,918,4,34.1428,-117.9996,3
housing/rent/apartment,1.0,1,Yes,,1785,300,459,6,41.7277,-72.8374,4
housing/rent/apartment,1.0,1,Thumbnail,,1575,300,793,4,34.0628,-118.2754,5
housing/rent/apartment,1.0,1,Yes,,1534,300,508,20,39.1775,-77.1944,4
housing/rent/apartment,1.0,1,Yes,,1470,300,819,6,41.7773,-72.5249,3
housing/rent/apartment,1.0,1,Yes,,1470,300,528,20,39.1627,-76.6354,3
housing/rent/apartment,1.0,1,Yes,,1470,300,305,20,39.1723,-76.8514,3
housing/rent/apartment,1.0,2,Thumbnail,,1425,300,178,34,40.6496,-73.9596,5
housing/rent/apartment,1.0,1,Yes,,1386,300,770,20,39.2081,-76.661,3
housing/rent/apartment,1.0,0,Thumbnail,,1195,300,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,1,Thumbnail,,995,300,272,14,41.9891,-87.6572,0
housing/rent/apartment,1.0,0,Thumbnail,,975,300,785,4,33.7815,-118.1934,0
housing/rent/apartment,1.0,1,Thumbnail,,911,300,272,14,41.8625,-87.6825,4
housing/rent/apartment,1.0,0,Thumbnail,,900,300,69,43,30.3054,-97.7497,0
housing/rent/apartment,1.0,1,Thumbnail,,800,300,481,5,40.5649,-105.0824,1
housing/rent/apartment,1.0,1,Thumbnail,,800,300,363,10,33.7416,-84.2614,0
housing/rent/apartment,1.0,1,Thumbnail,,795,300,369,5,39.736,-104.9819,0
housing/rent/apartment,1.0,1,Thumbnail,,795,300,1270,9,27.3181,-82.4987,1
housing/rent/apartment,1.0,1,Thumbnail,,775,300,903,48,43.0531,-87.9659,4
housing/rent/apartment,1.0,0,Thumbnail,,760,300,272,14,41.8625,-87.6825,0
housing/rent/apartment,1.0,1,Thumbnail,,750,300,1490,9,28.23,-82.3055,1
housing/rent/apartment,1.0,1,Thumbnail,,725,300,1405,39,41.6151,-71.1705,0
housing/rent/apartment,1.0,1,Thumbnail,,700,300,1357,10,33.5571,-84.2167,0
housing/rent/apartment,1.0,1,Thumbnail,,650,300,306,35,39.9974,-82.9829,2
housing/rent/apartment,1.0,1,Thumbnail,,595,300,548,5,39.0744,-108.5228,0
housing/rent/apartment,1.0,1,Thumbnail,,590,300,138,15,39.1471,-86.5136,6
housing/rent/apartment,1.0,2,Thumbnail,,590,300,138,15,39.1471,-86.5136,7
housing/rent/apartment,1.0,2,Thumbnail,,585,300,138,15,39.1471,-86.5136,7
housing/rent/apartment,1.0,2,Thumbnail,,580,300,250,14,40.1145,-88.2723,6
housing/rent/apartment,1.0,1,Thumbnail,,400,300,1156,27,35.823,-78.6438,0
housing/rent/apartment,1.0,2,Thumbnail,,275,300,730,9,28.0451,-81.9689,5
housing/rent/apartment,1.0,1,Thumbnail,,1195,301,1177,33,39.5197,-119.8342,6
housing/rent/apartment,1.0,1,Thumbnail,,1094,306,1177,33,39.5197,-119.8342,7
housing/rent/apartment,1.0,0,Thumbnail,,725,308,1503,15,40.4969,-86.9659,4
housing/rent/apartment,1.0,0,Thumbnail,,1099,309,1135,37,45.5091,-122.6449,0
housing/rent/apartment,1.0,2,Thumbnail,,1222,310,798,19,42.6398,-71.3184,6
housing/rent/apartment,1.0,0,Thumbnail,,2195,313,1247,4,37.7599,-122.4379,2
housing/rent/apartment,1.0,1,Thumbnail,,760,313,647,15,39.7953,-86.1387,5
housing/rent/apartment,1.0,2,Thumbnail,,650,314,1037,44,41.2321,-111.9813,11
housing/rent/apartment,1.0,0,Thumbnail,,2695,315,1247,4,37.7599,-122.4379,3
housing/rent/apartment,1.0,2,Thumbnail,,730,315,34,0,61.1723,-149.8414,1
housing/rent/apartment,1.0,0,Thumbnail,,659,315,762,17,38.0172,-84.4931,0
housing/rent/apartment,1.0,1,Thumbnail,,775,317,721,15,40.3613,-86.9005,3
housing/rent/apartment,1.0,0,Thumbnail,,1350,318,270,20,38.9799,-77.0798,0
housing/rent/apartment,1.0,1,Thumbnail,,1100,319,272,14,41.8625,-87.6825,7
housing/rent/apartment,1.0,1,Thumbnail,,965,320,272,14,41.8625,-87.6825,4
housing/rent/apartment,1.0,0,Thumbnail,,675,320,291,35,41.4648,-81.6794,6
housing/rent/apartment,1.0,1,Thumbnail,,925,321,733,5,39.6894,-105.1119,0
housing/rent/apartment,1.0,1,Thumbnail,,845,322,903,48,43.0531,-87.9659,0
housing/rent/apartment,1.0,2,Thumbnail,,700,324,810,48,43.0724,-89.4003,1
housing/rent/apartment,1.0,2,Thumbnail,,2700,325,146,19,42.328,-71.071,1
housing/rent/apartment,1.0,2,Thumbnail,,1995,325,1173,4,33.8517,-118.3978,0
housing/rent/apartment,1.0,1,Thumbnail,,1350,325,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,2,Thumbnail,,1349,325,272,14,41.8625,-87.6825,0
housing/rent/apartment,1.0,2,Thumbnail,,975,325,740,33,36.1554,-115.1733,8
housing/rent/apartment,1.0,0,Thumbnail,,925,325,272,14,41.8625,-87.6825,5
housing/rent/apartment,1.0,2,Thumbnail,,899,325,272,14,41.8625,-87.6825,1
housing/rent/apartment,1.0,2,Thumbnail,,700,325,166,6,41.1873,-73.1811,0
housing/rent/apartment,1.0,2,Thumbnail,,325,325,1406,35,41.6675,-83.5837,2
housing/rent/apartment,1.0,1,Thumbnail,,915,330,369,5,39.6665,-105.0962,1
housing/rent/apartment,1.0,0,Thumbnail,,799,330,1503,15,40.4969,-86.9659,5
housing/rent/apartment,1.0,1,Thumbnail,,710,330,681,24,39.0744,-94.5521,1
housing/rent/apartment,1.0,2,Thumbnail,,2695,332,1247,4,37.7599,-122.4379,2
housing/rent/apartment,1.0,1,Thumbnail,,2295,332,1247,4,37.7599,-122.4379,2
housing/rent/apartment,1.0,2,Thumbnail,,1079,333,369,5,39.736,-104.9819,0
housing/rent/apartment,1.0,2,Thumbnail,,1386,334,69,43,30.3054,-97.7497,0
housing/rent/apartment,1.0,1,Thumbnail,,800,335,372,12,41.5927,-93.6276,0
housing/rent/apartment,1.0,0,Thumbnail,,2195,336,1247,4,37.7856,-122.4121,3
housing/rent/apartment,1.0,2,Thumbnail,,1100,336,1301,48,43.0834,-87.8861,0
housing/rent/apartment,1.0,1,Thumbnail,,1099,336,1386,9,28.0076,-82.4792,2
housing/rent/apartment,1.0,0,Thumbnail,,625,336,1418,3,32.2264,-110.9438,6
housing/rent/apartment,1.0,2,Thumbnail,,809,337,69,43,30.3054,-97.7497,0
housing/rent/apartment,1.0,0,Thumbnail,,2295,338,1247,4,37.7599,-122.4379,1
housing/rent/apartment,1.0,2,Thumbnail,,1160,338,507,9,29.6533,-82.3656,12
housing/rent/apartment,1.0,2,Thumbnail,,998,338,1479,48,44.9605,-89.6304,3
housing/rent/apartment,1.0,2,Thumbnail,,990,338,1135,37,45.5091,-122.6449,5
housing/rent/apartment,1.0,1,Thumbnail,,785,340,810,48,43.0724,-89.4003,2
housing/rent/apartment,1.0,2,Thumbnail,,720,340,1503,15,40.4969,-86.9659,5
housing/rent/apartment,1.0,0,Thumbnail,,1240,341,1394,3,33.3898,-111.9272,11
housing/rent/apartment,1.0,0,Thumbnail,,2395,342,1247,4,37.7599,-122.4379,1
housing/rent/apartment,1.0,2,Thumbnail,,480,342,721,15,40.3613,-86.9005,5
housing/rent/apartment,1.0,0,Thumbnail,,800,344,262,42,35.0462,-85.2352,9
housing/rent/apartment,1.0,1,Thumbnail,,1655,346,1285,47,47.616,-122.3275,2
housing/rent/apartment,1.0,1,Thumbnail,,899,346,905,23,44.9855,-93.3023,5
housing/rent/apartment,1.0,1,Thumbnail,,600,347,1234,24,38.6274,-90.304,0
housing/rent/apartment,1.0,2,Thumbnail,,699,348,681,24,39.0744,-94.5521,3
housing/rent/apartment,1.0,0,Thumbnail,,2195,350,1247,4,37.7599,-122.4379,1
housing/rent/apartment,1.0,2,Thumbnail,,1670,350,39,22,42.2711,-83.745,3
housing/rent/apartment,1.0,1,Thumbnail,,1650,350,1248,4,37.3108,-121.8645,1
housing/rent/apartment,1.0,2,Thumbnail,,1550,350,1468,7,38.9118,-77.0132,1
housing/rent/apartment,1.0,0,Thumbnail,,1400,350,793,4,34.0372,-118.2972,0
housing/rent/apartment,1.0,0,Thumbnail,,1299,350,1135,37,45.5091,-122.6449,0
housing/rent/apartment,1.0,0,Thumbnail,,1299,350,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,2,Thumbnail,,1200,350,593,19,42.7742,-71.0937,12
housing/rent/apartment,1.0,1,Thumbnail,,1145,350,1099,38,40.0054,-75.1415,0
housing/rent/apartment,1.0,1,Thumbnail,,1000,350,810,48,43.0724,-89.4003,6
housing/rent/apartment,1.0,0,Thumbnail,,940,350,272,14,41.8625,-87.6825,0
housing/rent/apartment,1.0,2,Thumbnail,,895,350,1513,35,40.1119,-82.9128,8
housing/rent/apartment,1.0,0,Thumbnail,,875,350,69,43,30.3054,-97.7497,0
housing/rent/apartment,1.0,1,Thumbnail,,849,350,1282,3,33.5783,-111.8902,0
